id,kl_set,text
oai:brage.inn.no:11250/133966,Kjønns- og/eller likestillingsperspektiv,"Kjennetegn på skoler med små kjønnsforskjeller;Schools with small gender differences Norsk: Det er gjennom de senere årene godt dokumentert at jenter
gjør det langt bedre i skolen enn gutter. Dette gjelder både i forhold til
skolefaglige prestasjoner, utvikling av sosiale ferdigheter og atferd på skole.
Videre er det også slik at 7 av 10 elever som mottar spesialundervisning er
gutter. Til en viss grad kan det hevdes at jenter er vinnere i dagens utdanningssystem,
og at det er en stor andel gutter som mislykkes og faller utenfor.
I denne studien har vi ut fra et stort kvantitativt datamateriale, identifisert
fire skoler med relativt små kjønnsforskjeller. I disse skolene gjør gutter det
omtrent like bra og på noen områder bedre enn jentene. Det er dessuten
generelt et godt læringsutbytte for alle elever i disse skolene. Både i lesing,
skriving, matematikk og engelsk har guttene gode kunnskaper og ferdigheter,
og guttene viser også en hensiktsmessig atferd og trives godt i disse
skolene. I de utvalgte skolene med små kjønnsforskjeller har vi intervjuet
både skoleledere, lærere og elever for å finne ut hva som kjennetegner skolene,
læringsmiljøet og den undervisingen som foregår der. Ut fra dette har vi
forsøkt å få en forståelse for og noen forklaringer på hvorfor guttene lykkes
relativt bra i disse skolene.
De primære og viktigste forklaringene vi har på de små kjønnsforskjellene
vi finner her, er knyttet til at dette er skoler med en generelt god allmennpedagogikk.
Det er en rekke fellestrekk ved den pedagogiske praksisen som
gjennomføres i disse skolene og det er denne praksisen som gir gode resultater
for både gutter og jenter. Dette er knyttet til både undervisningen og
læringsmiljøet i skolene. Vi kan si at disse fire skolene er gode skoler med
lærere som tar ansvar og framstår som tydelig voksne. Det er en støttende
og positiv relasjon mellom elev og lærer, der elevene opplever anerkjennelse
fra lærerne og det er god struktur på undervisningen. Dette er i samsvar med
internasjonal pedagogisk forskning som viser at disse faktorene har en stor
effekt på elevenes læringsutbytte. Vi finner relativt lite av den sterkt individualiserte undervisningen med stor
vekt på ansvar for egen læring, arbeidsplansprinsipper og andre former for
selvregulert læring. Det kan være slik at den sterkt individualiserte undervisningen
gir gutter større problemer og utfordringer enn jenter, og at det lett
kan bli store kjønnsforskjeller i skoler som vektlegger disse undervisningsprinsippene
mye.
Det er relativt få gutteorienterte aktiviteter i disse skolene, og de er i beste
fall kun en sekundær forklaring på guttenes positive resultater. I den grad
skolene foretar en tilpasning til gutters behov skjer det ved å tilpasse noe av
innholdet i skolen og fagene til gutters interesser og verdier.;English: In recent years it has been well documented that girls’ educational
outcome are better in school than boys. This applies both in relation to academic
achievement, development of social skills and their behavior at school.
Furthermore, it is also results which tell that 7 of 10 pupils who receive special
needs education are boys. To some extent it can be argued that the girls are
winning in the system of education today, and that there are a large proportion
of boys who fail and fall outside.
In this study from a large quantitative data we identified four schools with relatively
small gender differences. In these schools the boys educational outcome
are about as well and in some respects better than the girls. Generally, it is
also a good learning outcome for all pupils in these schools. Both in reading,
writing, mathematics and English are the boys’ success as a good knowledge
and skills, and the boys also show appropriate behavior and are well being in
these schools. In these schools with small gender differences, we interviewed
school administrators, teachers and pupils to determine the characteristics of
their schools, learning environment and the teaching that takes place there.
From this we attempt to gain an understanding of and some explanations as
to why the boys succeeded fairly well in these schools.
The primary and most important statements we have on the small gender
differences we find here is related to this schools as with a good educational
system in general. There are a number of common features of the educational
practices implemented in these schools and it is this practice that gives good
results for both boys and girls. This is related to both teaching and learning
environment in schools. We can say that these four schools are good schools
with teachers who take responsibility and stand out as obviously adults. It is a
supportive and positive relationship between pupils and teachers, pupils experience recognition from teachers and there is good structure in the instructions.
This is in accordance with international educational research which
explains that these factors have a major impact on pupils’ outcome of learning.
We find relatively modest of the very individualized instruction which emphasis
on the pupils’ responsibility for learning, principle of work plan for learning
outcome and other forms of self-regulated learning. It may be that the highly
individualized instruction can mean more problems and challenges for boys,
than girls, and that it can without doubt be larger gender differences in schools
that emphasize such principle for instruction and teaching.
There are relatively few boys ‘oriented activities in these schools, and they
are at best only a secondary explanation for the boys’ positive results. To the
extent that schools make an adjustment to the boys needs it happen by adapting
some of the content in the school subjects to boys’ interests and values.;Høyres stortingsgruppe"
oai:brage.inn.no:11250/134132,Ikke relevant,"Grønn omsorg fra deltager og tilbyderes perspektiv: Delrapport i prosjektet Recovery-orienterte grønn omsorgstjenester;Green care from participants and providers perspective: Sub report from the research project Recovery-Oriented Green Care Services Norsk: Virksomheter innen Grønn omsorg innebærer å bruke aktiviteter på gården,
med dyr og i naturen for å hjelpe mennesker i vanskelige livssituasjoner til bedring,
rehabilitering og helse. Slike virksomheter kan være rettet mot mange
ulike grupper, men her mot personer med psykiske problemer og/eller rusproblemer.
«Inn på tunet» (IPT) er en felles benevning for Grønn omsorg, prosjektet
Recovery-orienterte grønn omsorgstjenester (ROGCS) ved Høgskolen i
Hedmark har til hensikt å skape økt og fordypet kunnskap om Grønn omsorg
fra mest mulig ulike perspektiver.
Denne rapport beskriver to delstudier innen prosjektet, del 1 er rettet mot
deltakere, eller tidligere deltakere i IPT virksomheter og del 2 er rettet mot
tilbydere, begge studiene gjeller Hedmark og Opplands fylke.
Del 1 beskriver og analyserer deltagernes subjektive erfaringer ved kvalitative
intervjuer med 20 personer i ulike aldrer, likt fordelt mellom kvinner og menn.
Analysen var Grounded Theory-rettet analyse.
Analysen resulterte i en hovedkategori – Et meningsfullt liv – og 5 kategorier:
Kontakt med dyr, Et «naturlig» arbeid, Ledelse og gruppeprosesser, Utfordring
og mestring, samt Sosialt felleskap og tilhørighet. Resultatene viser en meget
positiv vurdering av deltakelsen. IPT-virksomheter viste mye felles med andre
typer behandlings- og støttevirksomheter, men også med kjennetegn som
spesifikt er koblet til Grønn omsorg. Ulike uttrykk for recovery kunne gjenkjennes
i intervjupersonenes utsagn. Empowerment ble økt, liksom følelsen av
sosial integrering. Fokus ble forskjøvet fra sykdom og uhelse, i retning mot
styrke, helse og velvære. Del 2 gir fordypet kunnskap om en gruppe tilbyderes perspektiv på arbeidet
innen IPT gjennom 3 kvalitative flerstegs fokusgrupper med tilbydere. En
kvalitativ og mønstersøkende analyse, med inspirasjon fra hermeneutikk og
fenomenologi, resulterte i 6 kategorier. Tilbyderne synes det er et givende
arbeid å ha brukere på gården. De bryr seg om brukerne, og gleder seg med
dem når de gjør fremskritt. Allikevel ser de at flesteparten av rusmisbrukerne
faller tilbake til gamle vaner, og mye av dette skyldes et dårlig fungerende
ettervern. Skjemaveldet og byråkratiet i helse-Norge oppleves som en frustrasjon
og vanskeliggjør jobben for tilbyderne. Det kan være vanskelig å få til
en god flyt i tilbudet, og innimellom lever tilbyderne fra hånd til munn. Selv
om kommunen kan være begeistret over resultatene, kan det allikevel være
vanskelig for tilbyderne å få langsiktige kontrakter, noe som oppleves stressende.
IPT er et lavterskeltilbud, og gården har en rolig og uhøytidelig stemning
som kan være med å ufarliggjøre situasjonen for brukeren. Tilbyderne bør
ha egenskaper
som empati, tålmodighet, humor og humør, og evne til å kunne
håndtere uforutsette ting. Effekten av grønn omsorg tror tilbyderne kommer
av å jobbe praktisk sammen med brukerne, at brukerne får ansvar som gjør
at de føler mestring. I tillegg får brukerne være sammen med dyr, og de er en
del av et sosialt fellesskap. IPT kan bidra til forebyggende psykisk helsearbeid,
en ressurs som hittil ikke er så mye brukt.;English: Green Care services involve using activities in nature, on farms and with animals
to help people in difficult life situations to reach recovery, rehabilitation
and health. Such activities can be directed towards many different groups.
Here it is geared towards people with mental health problems and/or addictions.
«Inn på tunet» (IPT) is a common Norwegian designation for Green Care.
The research project Recovery-Oriented Green Care Services (Rogcs) at Hedmark
University College intends to create widened and deepened knowledge
about Green Care from diverse perspectives.
This report describes two sub-studies within the project. Part 1 is directed
towards participants or former participants in Green Care activities and part 2
is directed towards providers, both studies in Hedmark and Oppland county.
Part 1 describes and analyses the participants’ subjective experiences by
qualitative interviews with 20 people in various ages, equally divided between
men and women. The analysis was Grounded Theory-oriented.
The analysis resulted in a main category – A meaningful life – and 5 categories:
Contact with animals, A «natural» labor, Leadership and group processes,
Challenges and coping, and Social community and belonging. The results
show a very positive assessment of the participation. IPT organizations have
a lot in common with other types of treatment and support activities, but also
with characteristics that are specifically linked to IPT. Different expressions of
recovery could be identified in the interview subjects’ statements. Empowerment
was increased, as was the feeling of social integration. The focus was
changed from disease and ill-health, in the direction of strength, health and
wellness. Part 2 gives further knowledge from providers’ perspective on the work of the
IPT through 3 multistage qualitative focus groups with providers. A qualitative
analysis, inspired by hermeneutics and phenomenology, resulted in six categories.
Providers find it a rewarding job to have users on the farm. They care
about the users, and rejoice with them when they are making progress. Yet
they see that the majority of substance abuse founders fall back into old habits,
and much of this is due to a poorly functioning aftercare. Paperwork and
bureaucracy in ‘Health-Norway’ is experienced as a frustration and hampers
job providers. It can be difficult to get a good flow in the offer and occasionally
providers live from hand to mouth. Although the authorities show to be thrilled
with the good results, it can still be difficult for the providers to get long-term
contracts, which is experienced stressful.
IPT is a low-threshold service, and the farms have a quiet and unpretentious
atmosphere that can help to make the situation feel safe for the users. Providers
should have personal traits such as empathy, patience, humor and good
spirits, and an ability to handle unexpected situations. The providers believe
that the positive effects of green care are due to performing practical work
together, interacting with animals, that the service users are given responsibility
and therefore learn coping skills, but also that they are part of a social
community on the farm.
In addition, IPT contributes to preventive mental health work, a resource which
so far is not widely used."
oai:brage.inn.no:11250/134356,Ikke relevant,"Sosiale medier og politisk kommunikasjon - gammelt nytt? Denne artikkelen vil belyse hvordan endringer i informasjons- og kommunikasjonsteknologi påvirker den politiske kommunikasjonen.
Artikkelen undersøker om og eventuelt hvordan de sentrale aktørene innenfor det politiske landskapet, det vil si politikere, politiske partier, innbyggerne og media, endrer sin måte å kommunisere på som følge av sosiale medier som Twitter, Facebook og blogging. Artikkelen
gjennomgår først noen generelle trekk ved politisk kommunikasjon og medienes funksjoner i den sammenheng. Deretter går vi mer spesifikt
inn på sosiale mediers plass innenfor medielandskapet, og vi ser dette i lys av hvordan politisk kommunikasjon i sosiale medier fungerer i lokalpolitikken. For å illustrere forskjellige teoretiske perspektiver benytter vi oss av en enquête-undersøkelse hvor lokalpolitikere i Elverum og Åmot har delt sine erfaringer og refleksjoner rundt egen bruk av sosiale medier
i valgkampsammenheng. Dermed kan artikkelen også belyse hvilken rolle sosiale medier har spilt i lokalvalgkampen i 2011 i de utvalgte kommunene.
Enquêteuttalelsene er samlet inn gjennom en invitasjon via Facebook. Invitasjonen gikk ut til 16 ulike lokalpolitikere som til sammen representerte partiene som stilte liste i kommunene Åmot og Elverum ved kommunevalget i 2011. I utvalget vårt var det ni menn og sju kvinner, både ordførerkandidater og personer lengre ned på valgslistene. Vi ba den enkelte lokalpolitikeren besvare to spørsmål: Spørsmål 1: Hvordan vil du beskrive sosiale mediers rolle som lokalpolitisk
verktøy? Spørsmål 2: Hvordan benytter du deg av sosiale medier i valgkampen? Formålet med henvendelsen var å få fram lokalpolitikernes egne refleksjoner og erfaringer med sosiale medier i valgkampsammenheng. Halvparten, det vil si åtte politikere (hvorav fem menn og tre kvinner fra
fem ulike partier) svarte på forespørselen.1 Spørsmålene ble utformet for å belyse sosiale mediers rolle i en større lokalpolitisk kommunikasjonsstrategi, samt at vi ønsket å høre hvordan lokalpolitikerne selv vurderte sine aktiviteter i de sosiale mediene som en del av egen politisk virksomhet. De ulike vurderingene, synspunktene og refleksjonene som vi fikk
inn, vil presenteres sammen med de teoretiske diskusjonene som artikkelen adresserer nedenfor."
oai:brage.inn.no:11250/134382,Ikke relevant,"Samfunnsforskning i verdens rikeste land Tittelen på denne antologien, I verdens rikeste land, kan fremstå som en
floskel, et surt oppstøt eller et uttrykk for en grunnleggende kritikk
av tiden vi lever i. Utsagnet kommer gjerne fra den som vil beklage seg
over at et eller annet ikke er som det burde være i dagens Norge: «… og
så i verdens rikeste land, da!». Slik kunne tittelen vise til noe mange vil
oppfatte som et «typisk norsk» særtrekk i vår tid: Det å klage på alt og
alle, til tross for at vi de facto lever i et av verdens rikeste land. Det er
imidlertid ikke poenget i denne antologien.
Boken inneholder ti artikler som behandler ulike sider ved det
norske samfunnet slik det framstår i dag. Temaene for denne antologien
faller inn under noen hovedområder som delvis overlapper hverandre:
Kommunikasjon, kultur, offentlighet og demokrati. Områdene synes
ikke umiddelbart å være spesifikt «norske», men det særegne får en ny
dimensjon når vi ser det i relasjon til vår globale samtid. Blant forskere
innenfor kommunikasjonsfeltet er det en tilnærmet implisitt viten at
«noe» først får betydning når det ses opp mot «noe annet». Begrepet
mann må for eksempel ses i forhold til begrepet kvinne for at hele dets
mening skal komme til uttrykk. Likeledes oppfattes et vi bedre når det
settes i relasjon til de andre. Identitet, knyttet enten til sted eller person,
er lokalt forankret. Samtidig tilkommer det automatisk også et globalt
perspektiv (Turtinen 2006). Oppsvinget i interessen for det lokale kan
tolkes som en konsekvens av den tiltagende globaliseringen, samtidig
som det vi vanligvis oppfatter som tegn på globalisering, egentlig blir
skapt i lokale sammenhenger. Det globale og det lokale er rett og slett to sider av samme sak ved at «den lilla världens’ attraktioner nu lanseras och
finns tillgängliga för alla» (Jönsson 2006:31).
Først når vi plasserer Norge i relasjon til resten av verden, får tittelen
sin rette mening. I verdens rikeste land handler om å anerkjenne vårt eget
utgangspunkt hvor tema med lokal og nasjonal forankring får sin fulle
betydning i relasjon til det globale og internasjonale. Fellesnevneren for
artiklene i denne antologien er at de med sine respektive, høyst forskjellige
utgangspunkt undersøker lokale og nasjonale sammenhenger samtidig
som disse sammenhengene relaterer seg til større globale og internasjonale
forhold. Bidragene i antologien representerer på denne måten
ulike kjennetegn og uttrykk for det nasjonale ved at bidragene plasseres
inn i en norsk samtidskontekst samtidig som de betegner ulike sider ved
det globale. Bidragene kan med en samlebetegnelse sies å være glokale.
Forholdet mellom det globale og det lokale har mange dimensjoner.
For det første vil det globale overskride det eksklusivt nasjonale
rammeverk, enten det handler om politiske forhold, kulturelle forhold
eller økonomiske forhold, eller om vi fokuserer på det globale som en
institusjon eller som en prosess (Sassen 2007). Dette innebærer først og
fremst at vi står i et avhengighetsforhold til verden omkring oss. Videre
er antakelsen om at sosiale prosesser først og fremst finner sted innenfor
nasjonalstatens territorium ikke like gjeldende nå som tidligere (ibid.).
Nasjonale prosesser må tvert i mot sees som uttrykk for både nasjonale
og globale prosesser og sammenhenger.
Et raskt blikk på dagens norske virkelighet bekrefter dette. Norge
deltar i internasjonale politiske og militære operasjoner, vi har gjennom
oljefondet omfattende økonomiske interesser i internasjonale markeder,
vi er gjennom transnasjonale organisasjoner som FN, NATO, EØS,
OECD og en rekke andre tilsvarende institusjoner knyttet opp mot forpliktende
internasjonale avtaler, direktiver og lovverk. Det synes umulig
å tenke seg den norske samtiden uten å se den i relasjon til og innenfor
konteksten av den globale samtiden.
Konsekvensene av at det globale overskrider det lokale og at det
globale er situert i det lokale, gir oss imidlertid ikke noe bestemt svar
på hvordan forholdet mellom det globale og det lokale ser ut eller kommer
til uttrykk. Det viser heller ikke til noen bestemt metodologi eller
analyseverktøy til hvordan vi skal undersøke dette forholdet. Imidlertid
gir det en inngang til at mange ulike temaer kan undersøkes med et slikt utgangspunkt. Bidragene i denne antologien kan alle leses som et uttrykk for eller konsekvens av disse to påstandene: At det globale overskrider det lokale, og at det globale er situert i det lokale."
oai:brage.inn.no:11250/134384,Ikke relevant,Gutters opplevelse av sin skolesituasjon – noe skolen kan påvirke? NA
oai:brage.inn.no:11250/144923,Ikke relevant,"Prestasjoner i lange løp - hvordan noen bakgrunnsfaktorer, trening og langrennserfaring påvirket sluttiden til deltakerne i Birkebeinerrennet i 2011 Formålet med denne studien er å undersøke hvordan kjønn, alder, kroppsmasseindeks (BMI), et sett av treningsvariabler og ulike aspekter ved langrennserfaring påvirket sluttiden til deltakerne i Birkebeinerrennet på ski i 2011.
Data og metode
Dataene baserer seg på et online spørreskjema besvart av ca. 2 000 av deltakerne i
Birkebeinerrennet i 2011. Multivariat regresjonsanalyse benyttes som estimeringsmetode.
Viktigste funn
Under ellers like forhold: Mennene har i gjennomsnitt 44 minutter (eller 16 %) raskere sluttid enn kvinnene. Eldre deltakere har jevnt over svakere sluttider enn yngre, men effekten er ikke spesielt sterk. Alderseffekten er imidlertid tiltakende, i betydningen at differansene i sluttid mellom femtiåringer og sekstiåringer er større en den tilsvarende differansen mellom trettiåringer og førtiåringer (jf. figur 2.1; s. 20). Deltakere med høy BMI har generelt sett svakere sluttider enn deltakere med lav, men effekten er svak for lavere verdier av BMI og tiltakende med økende nivå på BMI. Kun for deltakere med BMI over gjennomsnittet er det slik at høyere BMI ser ut til å føre med seg klart svakere sluttider (jf. figur 2.2; s. 21). Trening på ski og intervalltrening ser ut til å medføre raskere sluttider. Begge effektene er imidlertid
avtakende, i betydningen at tidsforbedringene er mer markerte for lavere volum på treningen
(jf. figur 2.3/2.4; s. 22/23). Trening på rulleski og løping har også prestasjonsfremmende
effekter. De av deltakerne som gikk jevnlig på ski som barn, har 12 minutter raskere sluttider
enn de som ikke gjorde dette. Desto mer erfaring en deltaker har i Birkebeinerrennet, jo
raskere sluttid. Men denne effekten er ikke en årviss jevn forbedring, snarere er det heller
snakk om sprangvise forbedringer med økende erfaring. De som også deltar i andre turrenn
har raskere sluttider enn de som kun deltar i Birkebeinerrennet. Funnene er generelt i tråd med forventningene basert på forskningen på utholdenhetsidrett generelt og på langrenn spesielt.                                                    Implikasjoner
Basert på studiens funn avsluttes rapporten med noen praktiske implikasjoner i forhold til
hvordan man kan forbedre seg i Birkebeinerrennet eller i andre tilsvarende skirenn (s. 29)."
oai:brage.inn.no:11250/191166,Ikke relevant,"Perfekte markeder – finnes de? Denne artikkel brukes betegnelsen perfekt marked som likeverdig med fullkomment marked. Begrepet perfekt marked bør ikke blandes sammen med begrepet frikonkurranse, da sistnevnte egentlig bare betyr at offentlige myndigheter ikke griper inn i prisdannelse og markedets funksjonsmåte ellers. Fri konkurranse er således i utgangspunktet bare en av forutsetningene for modellen for det perfekte marked.3
Perfekt konkurranse i en markedsøkonomi betyr at i alle markeder har de enkelte selgere (produsenter og forhandlere) svært små markedsandeler og tilpasser seg som pristagere. Hvis man ser seg rundt i moderne markedsøkonomier, så ser man at selgersiden vanligvis har betydelige markedsandeler og driver en aktiv prispolitikk. Det kan derfor virke unødvendig å påpeke at perfekte markeder ikke er noe fremherskende fenomen, hvis det i det hele tatt forekommer. Når det likevel kan være viktig å ta det opp, så skyldes det at frikonkurranse betegner et politisk paradigme (liten offentlig forvaltning og minst mulig regulering av markeder), som er begrunnet i den teoretiske modell for perfekte markeder (PKM-modellen). ”Frikonkurranseparadigmet” (egentlig paradigmet om perfekt konkurranse) gir inntrykk å ha en teoretisk relevans, som det ikke er empirisk dekning for.
Det er vanlig å påstå at offentlig tjenesteproduksjon er lite kostnadseffektiv sammenlignet med firma i privat sektor. Denne påstand er vanligvis ikke basert på empirisk dokumentasjon. Påstanden er begrunnet i misforstått teoretisering. Tjenesteytende enheter i offentlig forvaltning oppfattes som monopolbedrifter, som underforstått misbruker sin monopolmakt. Tjenesteytende enheter i privatsektor derimot fungerer i henhold til teorien/modellen for det perfekte konkurransemarked og er derfor per definisjon kostnadseffektive. Man foretar derfor en slags sammenligning mellom den faktiske effektivitet i offentlig forvaltning med en teoretisk modell for effektiviteten i privat sektor.
I det efterfølgende vises det at forutsetninger for eksistensen av perfekte markeder ikke er oppfylt. Det samme gjelder også generell likevektsteori, - kfr avsnitt 3. Det betyr at man i praksis står overfor imperfekte markeder (monopolistisk konkurranse og oligopol), - kfr avsnitt 4. Baumol & Blinder (2012), side 171, der det hevdes:Perfect competition is far from the typical market form in the US economy. Indeed, it is quite rare. Pure monopoly – literally one firm – is also infrequently encountered. Most of the products you buy are no doubt supplied by oligopolies or monopolistic competitors.
Firmaene i slike markeder driver strategisk prispolitikk med sikte på økt profitt og/eller økte markedsandeler. Prisene i slike markeder avspeiler derfor ikke det langsiktige kostnadsoptimale prisnivå
Det er et sterkt politisk press ikke minst fra næringslivet selv og dets organisasjoner for konkurranseutsetting, dvs bruk at private underleverandører for offentlig betalt produksjon. Næringslivets påstand er at private firma er mer effektive enn forvaltningen, slik at økt bruk av private underleverandører kan det lede til redusert ressursforbruk. Hvis vi ser i øynene at disse firma operer i imperfekte markeder så er en slik påstand ikke sannsynlig rent teoretisk. Det foreligger efterhvert en del erfaringer som viser at man generelt ikke oppnår ressursbesparelser. Det synes også å gjelde i de tilfeller der private underleverandører opprettholder den forønskede kvalitet på produksjonen eller tilbyr like gode lønns- og arbeidsbetingelser for de ansatte. I et langsiktig perspektiv kan det derimot være grunn til å tro at utstrakt bruk av private underleverandører vil føre til et høyere ressursforbruk (om kvalitet, samt lønns- og arbeidsbetingelser ikke skal forringes)."
oai:brage.inn.no:11250/216937,Kjønns- og/eller likestillingsperspektiv,"Elevenes stemmer. Forskjeller og likheter mellom jenter og gutters opplevelser av sin skolehverdag Hensikten med denne rapporten er å få kunnskap om hvilke forhold i undervisning og læringsmiljø som bidrar til en
likeverdig og tilpasset opplæring for gutter og jenter. Studien er en del av et større forsknings- og utviklingsprosjekt i
Gjøvik kommune med prosjekttittelen «Gutter og jenter i skolen». Målet med denne kvalitative undersøkelsen er å gå
inn i elevenes opplevelser på bestemte forhold i læringsmiljø og undervisning, gjennom å intervjue et utvalg av elever
på 6. og 9. trinn. Elevenes oppfatninger vil i mange situasjoner danne grunnlaget for deres handlinger, og eleven vil
dermed forstås som en aktør. Aktørperspektivet er rapportens teoretiske rammeverk, i tillegg til noe kjønnsteori og
tidligere empiri. For lærere vil det være avgjørende å få kunnskap om elevenes erfaringer og oppfatninger, slik at man
best kan legge til rette for læring og bidra til å redusere uheldige læringserfaringer.
Problemstillingene som det søkes svar på er:
• Hvilke forskjeller og likheter er det i jenter og gutters opplevelse av bestemte elementer i undervisning og
læringsmiljøet i Vardal ungdomsskolekrets?
• Hvilke pedagogiske konsekvenser kan elevenes stemmer få for lærernes praksis?
Gjennom analysene av datamaterialet er det benyttet kontrastering som verktøy, hvilket betyr at forskerne har lett
etter likheter og forskjeller mellom guttenes og jentenes stemmer. Resultatene viser at guttene og jentene deler
noen opplevelser, men det tyder også på at de opplever skolehverdagen forskjellig på noen områder. Generelt sett
ser det ut til at jentene har et mer positivt syn på skole og et større fokus på læring enn guttene. Guttene ser ut til
å utøve mer forstyrrende atferd og kjede seg i skoletimene, samt at de i større grad enn jentene har noen negative
opplevelser med enkeltlærere.
Pedagogiske konsekvenser av elevenes ulike stemmer vil være at de grunnleggende pedagogiske elementene må
være på plass, som god klasseledelse, læringstrykk med tydelige forventninger og krav, samt en anerkjennende
tilnærming til begge kjønn. Når disse elementene er til stede kan man knytte kunnskapen til handling gjennom
variasjon i arbeidsformer og oppgavetyper.;The purpose of this report is to gain knowledge about the conditions for the teaching and learning environment that
contribute to an equal and adapted education for boys and girls. The study is a part of a larger research- and development
project in Gjøvik municipality with the title «Boys and girls in school». The aim of this qualitative study is to
go into pupils’ experiences on specific topics in learning and teaching, by interviewing pupils on 6th and 9th grade.
The pupils’ views will often be the basis for their actions, and the pupil will be understood as an actor. A participant’s
perspective is the theoretical framework for this report, in addition to gender theory and previous empirical research.
For teachers, it will be important to get the knowledge about pupils’ experiences and perceptions in order to facilitate
learning and reduce negative learning experiences.
The issues which is sought answers to are:
• What differences and similarities are there in girls’ and boys’ perception of specific items in the teaching and
learning environment in Vardal secondary school district?
• What are the educational implications for teachers’ practice based on the pupils’ experiences?
In the analysis of the data has a contrasting method been used, which means that the researchers have been looking
for similarities and differences between boys’ and girls’ voices. The results show that boys and girls share some
experiences, but they also experience school life different in some areas. In general the girls have more positive
views on school and a stronger learning emphasis than boys. The boys seem to have a more disruptive behavior and
are bored in class, and have some negative experiences with some teachers to a greater extent than girls.
The educational implications of the pupils’ different voices will be that the basic educational elements must be in
place, such as the good class management, learning emphasis with clear expectations and demands, as well as an
appreciative approach to both sexes. When these elements are present, the knowledge can turn into action through
the variety in methods and task types."
oai:brage.inn.no:11250/2360189,Kjønns- og/eller likestillingsperspektiv,"Kjønnsforskjeller i skolefaglige prestasjoner – forklaringer i elevenes holdninger til og væremåte i skolen, samt relasjonelle forhold. Dette er forlagets versjon av en artikkel publisert i Paideia. Lenke til tidsskriftets hjemmeside: https://www.inn.no/prosjektsider/sepu/tidsskriftet-paideia;Denne artikkelen har til hensikt å undersøke om elevenes holdninger til og væremåte i skolen, samt relasjonelle forhold, kan bidra til å forklare kjønnsforskjeller i skolefaglige prestasjoner. Datamaterialet omfatter 4128 elever fra 5. til 10. klasse. Studien viser at variablene som er undersøkt, har forholdvis lik sammenheng med skolefaglige prestasjoner både for jenter og for gutter, men at jentene skårer høyere, spesielt på de lærervurderte variablene."
oai:brage.inn.no:11250/2379040,Ikke relevant,"“Det aller største mor vet om…”: Om å gi videre et levd liv med musikk og å formidle for lite. This is an Open Access article licensed under the Creative Commons Attribution International License 4.0 (CC BY) and originally published in InFormation : Nordic journal of art and Research. You can access the article by following this link: https://journals.hioa.no/index.php/information/article/view/1490/1377;Artikkelen dreier seg en mors inderlige ønske om å gi videre Prøysens barneviser til sin
5-årige sønn. Hun kjenner visene godt fra egen oppvekst, og har gode barndomsminner knyttet til
dem. Selv beskriver hun formidlingen som «mislykket», for sønnen er ikke interessert. I artikkelen
utforskes årsakene til at formidlingen «går galt» ved å se nærmere på morens forhold til barnevisene i
egen barndom, radioens formidling av visene som del av barnetimeprogrammene og cd-platen moren
har valgt for å formidle barnevisene til sønnen. Artikkelen er bygget på kvalitativt forskningsintervju
med mor og sønn og arkivforskning er benyttet for å belyse radiomediet. Cd-platen er analysert som
helhet, i tillegg til at det er gjort grundigere analyser av utvalgte viser. Ved å sammenholde
datamaterialet med teoretiske perspektiver på musikk i hverdagsliv og perspektiver på medier, søker
artikkelen å utdype morens opplevelse av barnevisene i voksen alder. Meningstilskrivelsene hun gjør
når hun lytter til barnevisene på den aktuelle cd-platen sammenliknes med sønnens
meningstilskrivelser. På bakgrunn av dette foreslås et begrep om «for-lite-mediering» – hypomediering
– for å beskrive en mediering som er «for trang» for det intenderte budskapet og som hindrer barnets
opplevelse heller enn å gi den næring slik at den blomstrer."
oai:brage.inn.no:11250/2381779,Kjønns- og/eller likestillingsperspektiv,"Lærersamarbeid, Er det forskjell på hvordan mannlige og kvinnelige lærere samarbeider? Forskningsmetode i profesjonsrettede lærerutdanningsfag- kvantitativ metode, Høsten 2015;Dataene som presenteres i dette essayet kommer fra en stor kartleggingsundersøkelse gjennomført av SePU. Tema i oppgaven er: Lærersamarbeid, og problemstillingen vil være: Er det forskjell på hvordan mannlige og kvinnelige lærere samarbeider?
Jeg ønsker å kommentere datamaterialet generert fra analyser uført i IMB SPSS, som er et statistisk datahåndterings -og dataanalyseverktøy. Videre vil jeg se på disse resultatene fra faktoranalyser, variansanalyser, regresjonsanalyser og reliabilitetsanalyser. Målet for essayet er å vise grunnleggende kunnskaper i lesing og tolking av statistiske begreper og framstillinger.
Avslutningsvis i essayet vil jeg diskutere datamaterialet og den informasjonen som kommer frem, med særlig vekt på om de tallverdiene som sier noe om forskjeller mellom mannlige og kvinnelige lærere måter å samarbeide på.
I dette datamaterialet blir lærerne bedt om å gi sin vurdering av følgende seks spørsmål om lærersamarbeid, og det er disse jeg konsentrerer meg om videre i essayet:
1. I denne skolen samarbeider vi lærere i stor grad om innhold og metoder i undervisningen.
2. I denne skolen støtter og hjelper lærerne hverandre for å forstå og løse problemer i klassa eller med elever som forstyrrer undervisningen.
3. Det er vanlig at lærere som har den samme klassa planlegger undervisningen i fellesskap
4. Lærerne er enige om hva som er uakseptabel elevatferd
5. Den enkelte lærer må i sin egen undervisning ta hensyn til andre læreres undervisning
6. På denne skolen er det et gjensidig forpliktende samarbeid mellom lærerne om de fleste forhold som vedrører undervisningen"
